index,DATE,TEAM,OPPONENT,TIME IN,TIME OUT,TOTAL_TIME,SCORE IN,SCORE OUT,+/-,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,POSS,FGM,FGA,2ptFGM,2ptFGA,3ptFGM,3ptFGA,FTM,FTA,AST,TO,OREB,DREB,STL,BLK,FOULS,Opp_POSS.,Opp_FGM,Opp_FGA,Opp_2ptFGM,Opp_2ptFGA,Opp_3ptFGM,Opp_3ptFGA,Opp_FTM,Opp_FTA,Opp_AST,Opp_TO,Opp_OREB,Opp_DREB,Opp_STL,Opp_BLK,Opp_FOULS
12,12/22/18,DAVIDSON,CENTRAL PENN,02:53,00:48,125,82-47,88-52,1,BOACHIE-YIADOM.NEL,CZERAPOWICZ.DAVID,FREUNDLICH.CAL,JONES.BATES,WYNTER.MALCOLM,4.44,3,5,3,4,0,1,0,1,1,0,1,3,0,1,0,5.0,2,5,1,2,1,3,0,0,0,0,0,2,0,0,1
13,12/22/18,DAVIDSON,CENTRAL PENN,00:48,00:00,48,88-52,88-54,-2,BOACHIE-YIADOM.NEL,CASEY.PAT,CZERAPOWICZ.DAVID,FREUNDLICH.CAL,WYNTER.MALCOLM,2.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2.0,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0
24,12/29/18,DAVIDSON,NORTH CAROLINA,04:08,01:04,184,53-75,57-80,-1,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,WYNTER.MALCOLM,7.0,2,7,2,4,0,3,0,0,1,0,0,4,0,1,1,5.88,1,6,0,4,1,2,2,2,0,0,1,5,0,1,0
25,12/29/18,DAVIDSON,NORTH CAROLINA,01:04,00:00,64,57-80,60-82,1,BOACHIE-YIADOM.NEL,COLLINS.CARTER,CZERAPOWICZ.DAVID,JONES.BATES,WYNTER.MALCOLM,2.0,1,2,0,0,1,2,0,0,1,0,0,1,0,1,0,2.0,1,2,1,2,0,0,0,0,1,0,0,1,0,0,1
17,01/05/19,DAVIDSON,DUQUESNE,08:59,07:20,99,56-51,56-54,-3,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,2.44,1,2,1,2,0,0,1,1,1,0,0,1,0,0,0
3,01/09/19,DAVIDSON,GEORGE MASON,12:05,09:22,163,8-6,10-10,-2,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,JONES.BATES,4.0,1,4,1,2,0,2,0,0,0,1,1,2,0,0,1,4.0,2,4,2,2,0,2,0,0,2,0,0,2,0,0,0
12,01/09/19,DAVIDSON,GEORGE MASON,12:47,11:45,62,44-29,44-34,-5,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,2.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1.88,1,1,0,0,1,1,2,2,1,0,0,0,1,0,0
5,01/12/19,DAVIDSON,VCU,10:42,09:33,69,4-8,8-10,2,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,2.0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
18,01/12/19,DAVIDSON,VCU,12:36,12:34,2,31-41,33-41,2,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,0.88,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,01/12/19,DAVIDSON,VCU,09:45,04:53,292,35-47,46-53,5,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,7.32,4,7,3,5,1,2,2,3,3,0,1,1,1,0,1,7.879999999999999,2,4,2,2,0,2,2,2,0,4,1,2,0,0,2
23,01/12/19,DAVIDSON,VCU,04:53,03:33,80,46-53,51-55,3,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,JONES.BATES,PRITCHETT.KISHAWN,1.88,1,1,0,0,1,1,2,2,1,0,0,0,0,0,1,0.8799999999999999,0,1,0,0,0,1,2,2,0,0,1,0,0,0,1
24,01/12/19,DAVIDSON,VCU,03:33,00:21,192,51-55,62-55,11,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,5.76,3,5,1,2,2,3,3,4,2,0,1,6,0,0,1,5.44,0,5,0,3,0,2,0,1,0,0,0,2,0,0,2
26,01/12/19,DAVIDSON,VCU,00:17,00:15,2,62-57,62-57,0,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,01/15/19,DAVIDSON,SAINT JOSEPH'S,09:41,07:56,105,16-8,16-15,-7,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,4.0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,2,3.88,2,4,1,2,1,2,2,2,2,0,1,3,0,0,0
4,01/19/19,DAVIDSON,RICHMOND,07:39,06:19,80,17-12,20-14,1,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,2.0,1,2,0,1,1,1,0,0,1,0,0,1,0,0,1,1.88,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0
5,01/19/19,DAVIDSON,RICHMOND,06:19,04:18,121,20-14,25-18,1,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,3.0,2,2,1,1,1,1,0,0,1,1,0,1,0,0,1,3.44,2,2,2,2,0,0,0,1,1,1,0,0,1,0,0
11,01/19/19,DAVIDSON,RICHMOND,11:32,11:15,17,57-37,57-37,0,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,JONES.BATES,PRITCHETT.KISHAWN,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,01/23/19,DAVIDSON,GEORGE WASHINGTON,06:36,04:19,137,25-22,28-25,0,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,JONES.BATES,PRITCHETT.KISHAWN,4.0,1,3,0,2,1,1,0,0,1,1,0,2,0,0,0,4.0,1,3,0,2,1,1,0,0,1,1,0,2,1,1,0
0,01/26/19,DAVIDSON,SAINT LOUIS,20:00,17:34,146,0-0,3-0,3,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,PRITCHETT.KISHAWN,4.0,1,3,0,1,1,2,0,0,1,1,0,2,1,2,1,3.0,0,3,0,3,0,0,0,0,0,1,1,2,0,0,0
1,01/26/19,DAVIDSON,SAINT LOUIS,17:34,16:23,71,3-0,5-2,0,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,2.0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
2,01/26/19,DAVIDSON,SAINT LOUIS,16:23,13:36,167,5-2,8-5,0,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,KOVACEVIC.DUSAN,3.0,1,4,0,0,1,4,0,0,1,0,1,2,0,0,1,3.0,1,4,0,2,1,2,0,0,1,0,1,2,0,0,0
3,01/26/19,DAVIDSON,SAINT LOUIS,13:36,12:39,57,8-5,8-5,0,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,JONES.BATES,PRITCHETT.KISHAWN,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
4,01/26/19,DAVIDSON,SAINT LOUIS,12:39,11:40,59,8-5,8-7,-2,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,PRITCHETT.KISHAWN,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2,1,2,0,0,0,0,0,0,1,1,0,1,0
5,01/26/19,DAVIDSON,SAINT LOUIS,11:40,10:21,79,8-7,9-11,-3,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAXEL,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,1.44,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1.88,1,1,1,1,0,0,2,2,1,0,0,1,0,0,3
6,01/26/19,DAVIDSON,SAINT LOUIS,10:21,09:23,58,9-11,13-11,4,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,JONES.BATES,1.88,1,1,0,0,1,1,1,2,1,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
7,01/26/19,DAVIDSON,SAINT LOUIS,09:23,08:03,80,13-11,13-11,0,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,JONES.BATES,PRITCHETT.KISHAWN,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
8,01/26/19,DAVIDSON,SAINT LOUIS,08:03,07:43,20,13-11,13-11,0,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAXEL,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,01/26/19,DAVIDSON,SAINT LOUIS,07:43,05:05,158,13-11,16-14,0,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,3.0,1,4,0,0,1,4,0,0,1,1,2,2,0,0,0,3.0,1,5,0,4,1,1,0,0,1,0,2,1,1,0,0
15,01/26/19,DAVIDSON,SAINT LOUIS,20:00,20:00,0,24-21,24-21,0,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,JONES.BATES,PRITCHETT.KISHAWN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,01/26/19,DAVIDSON,SAINT LOUIS,20:00,18:54,66,24-21,24-22,-1,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,2.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,1.44,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
17,01/26/19,DAVIDSON,SAINT LOUIS,18:54,18:00,54,24-22,24-24,-2,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1.44,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0
18,01/26/19,DAVIDSON,SAINT LOUIS,18:00,16:47,73,24-24,29-28,1,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,2.0,2,2,1,1,1,1,0,0,2,0,0,1,0,0,2,2.88,1,2,1,2,0,0,2,2,1,0,0,0,0,0,0
19,01/26/19,DAVIDSON,SAINT LOUIS,16:47,16:16,31,29-28,29-30,-2,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1.32,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0
20,01/26/19,DAVIDSON,SAINT LOUIS,16:16,15:01,75,29-30,32-30,3,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNSSON.JONAXEL,JONES.BATES,2.0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
21,01/26/19,DAVIDSON,SAINT LOUIS,15:01,11:55,186,32-30,35-36,-3,COLLINS.CARTER,GRADY.KELLAN,GUDMUNSSON.JONAXEL,JONES.BATES,KOVACEVIC.DUSAN,6.0,1,4,0,2,1,2,0,0,1,2,0,2,1,0,1,5.88,2,6,2,3,0,3,2,2,0,1,2,3,0,2,0
22,01/26/19,DAVIDSON,SAINT LOUIS,11:55,10:36,79,35-36,37-36,2,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,JONES.BATES,PRITCHETT.KISHAWN,1.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1.0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0
23,01/26/19,DAVIDSON,SAINT LOUIS,10:36,08:49,107,37-36,37-38,-2,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,3.0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0,3.88,1,2,1,2,0,0,0,2,0,1,0,1,1,1,1
24,01/26/19,DAVIDSON,SAINT LOUIS,08:49,08:04,45,37-38,39-39,1,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.44,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
25,01/26/19,DAVIDSON,SAINT LOUIS,08:04,02:19,345,39-39,50-48,2,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,6.76,3,6,2,2,1,4,4,4,2,0,1,2,2,0,0,7.439999999999999,3,8,1,2,2,6,1,1,3,2,3,1,0,0,4
26,01/26/19,DAVIDSON,SAINT LOUIS,02:19,00:05,134,50-48,54-53,-1,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,PRITCHETT.KISHAWN,3.88,1,2,1,2,0,0,2,2,0,1,0,1,0,0,1,3.0,2,3,1,1,1,2,0,0,2,0,0,1,0,0,1
27,01/26/19,DAVIDSON,SAINT LOUIS,00:05,00:00,5,54-53,54-53,0,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNSSON.JONAXEL,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.8799999999999999,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0
